head,tail,label,predict
Q4999759,Q19558910,heritage designation,heritage designation
Q17184145,Q19558910,heritage designation,heritage designation
Q18217022,Q19558910,heritage designation,heritage designation
Q174139,Q9259,heritage designation,heritage designation
Q19876445,Q19558910,heritage designation,heritage designation
Q39671,Q9259,heritage designation,heritage designation
Q4890556,Q19558910,heritage designation,heritage designation
Q5339801,Q624232,heritage designation,heritage designation
Q6071818,Q19558910,heritage designation,heritage designation
Q14714841,Q19558910,heritage designation,heritage designation
Q5046881,Q19558910,heritage designation,heritage designation
Q1071674,Q9259,heritage designation,heritage designation
Q6751637,Q19558910,heritage designation,heritage designation
Q14713134,Q19558910,heritage designation,heritage designation
Q4690078,Q19558910,heritage designation,heritage designation
Q6520136,Q19558910,heritage designation,heritage designation
Q5032231,Q19558910,heritage designation,heritage designation
Q20740396,Q422211,heritage designation,heritage designation
Q15228678,Q19558910,heritage designation,heritage designation
Q4927699,Q624232,heritage designation,heritage designation
Q7574758,Q19558910,heritage designation,heritage designation
Q14712523,Q19558910,heritage designation,heritage designation
Q7739647,Q19558910,heritage designation,heritage designation
Q5149844,Q19558910,heritage designation,heritage designation
Q7877993,Q19558910,heritage designation,heritage designation
Q7380693,Q19558910,heritage designation,heritage designation
Q184429,Q9259,heritage designation,heritage designation
Q23067948,Q1568567,heritage designation,heritage designation
Q682357,Q2222981,heritage designation,heritage designation
Q6413180,Q624232,heritage designation,heritage designation
Q5140532,Q422211,heritage designation,heritage designation
Q7174743,Q19558910,heritage designation,heritage designation
Q6859042,Q19558910,heritage designation,heritage designation
Q24062040,Q19558910,heritage designation,heritage designation
Q7545742,Q19558910,heritage designation,heritage designation
Q7399138,Q624232,heritage designation,heritage designation
Q6745060,Q19558910,heritage designation,heritage designation
Q6004683,Q19558910,heritage designation,heritage designation
Q6689901,Q19558910,heritage designation,heritage designation
Q14692926,Q19558910,heritage designation,heritage designation
Q5379324,Q19558910,heritage designation,heritage designation
Q6088103,Q19558910,heritage designation,heritage designation
Q7633898,Q19558910,heritage designation,heritage designation
Q19462063,Q19558910,heritage designation,heritage designation
Q7450864,Q19558910,heritage designation,heritage designation
Q15198417,Q19558910,heritage designation,heritage designation
Q5746219,Q19558910,heritage designation,heritage designation
Q19461808,Q19558910,heritage designation,heritage designation
Q16979512,Q19558910,heritage designation,heritage designation
Q4671366,Q19558910,heritage designation,heritage designation
Q5586125,Q624232,heritage designation,heritage designation
Q5639426,Q19558910,heritage designation,heritage designation
Q7450683,Q19558910,heritage designation,heritage designation
Q5175495,Q422211,heritage designation,heritage designation
Q7842929,Q19558910,heritage designation,heritage designation
Q5021772,Q19558910,heritage designation,heritage designation
Q2727469,Q9259,heritage designation,heritage designation
Q24040196,Q19558910,heritage designation,heritage designation
Q4861580,Q19558910,heritage designation,heritage designation
Q14709599,Q19558910,heritage designation,heritage designation
Q5914169,Q19558910,heritage designation,heritage designation
Q276553,Q9259,heritage designation,heritage designation
Q14712198,Q19558910,heritage designation,heritage designation
Q1872230,Q624232,heritage designation,heritage designation
Q5646221,Q19558910,heritage designation,heritage designation
Q629210,Q9259,heritage designation,heritage designation
Q8021264,Q19558910,heritage designation,heritage designation
Q5586398,Q19558910,heritage designation,heritage designation
Q14714074,Q19558910,heritage designation,heritage designation
Q7081918,Q19558910,heritage designation,heritage designation
Q15275577,Q19558910,heritage designation,heritage designation
Q6754150,Q19558910,heritage designation,heritage designation
Q6039102,Q19558910,heritage designation,heritage designation
Q5216987,Q19558910,heritage designation,heritage designation
Q8020102,Q624232,heritage designation,heritage designation
Q14712522,Q19558910,heritage designation,heritage designation
Q19875086,Q19558910,heritage designation,heritage designation
Q5415867,Q19558910,heritage designation,heritage designation
Q15229364,Q19558910,heritage designation,heritage designation
Q7089444,Q19558910,heritage designation,heritage designation
Q5592552,Q19558910,heritage designation,heritage designation
Q5523867,Q19558910,heritage designation,heritage designation
Q6747016,Q19558910,heritage designation,heritage designation
Q4966381,Q19558910,heritage designation,heritage designation
Q7741176,Q19558910,heritage designation,heritage designation
Q5468116,Q19558910,heritage designation,heritage designation
Q24902163,Q19558910,heritage designation,heritage designation
Q6423839,Q19558910,heritage designation,heritage designation
Q7242554,Q19558910,heritage designation,heritage designation
Q16902483,Q19558910,heritage designation,heritage designation
Q7848379,Q19558910,heritage designation,heritage designation
Q5345197,Q19558910,heritage designation,heritage designation
Q14707794,Q19558910,heritage designation,heritage designation
Q8059780,Q19558910,heritage designation,heritage designation
Q3095753,Q19558910,heritage designation,heritage designation
Q5491573,Q19558910,heritage designation,heritage designation
Q8050824,Q19558910,heritage designation,heritage designation
Q7369243,Q19558910,heritage designation,heritage designation
Q19817707,Q19558910,heritage designation,heritage designation
Q7900646,Q219538,heritage designation,heritage designation
Q5019919,Q19558910,heritage designation,heritage designation
Q5929469,Q624232,heritage designation,heritage designation
Q14691949,Q19558910,heritage designation,heritage designation
Q5141661,Q19558910,heritage designation,heritage designation
Q5171117,Q19558910,heritage designation,heritage designation
Q23020308,Q19558910,heritage designation,heritage designation
Q207193,Q9259,heritage designation,heritage designation
Q7070601,Q19558910,heritage designation,heritage designation
Q4805915,Q422211,heritage designation,heritage designation
Q753437,Q19558910,heritage designation,heritage designation
Q16892644,Q19558910,heritage designation,heritage designation
Q7508895,Q19558910,heritage designation,heritage designation
Q14712364,Q19558910,heritage designation,heritage designation
Q7808972,Q19558910,heritage designation,heritage designation
Q14715258,Q19558910,heritage designation,heritage designation
Q6782889,Q19558910,heritage designation,heritage designation
Q5148322,Q624232,heritage designation,heritage designation
Q5524023,Q9259,heritage designation,heritage designation
Q6152694,Q19558910,heritage designation,heritage designation
Q28153646,Q19558910,heritage designation,heritage designation
Q7321480,Q422211,heritage designation,heritage designation
Q5024231,Q19558910,heritage designation,heritage designation
Q6361767,Q19558910,heritage designation,heritage designation
Q28123493,Q19558910,heritage designation,heritage designation
Q5493539,Q19558910,heritage designation,heritage designation
Q7083691,Q19558910,heritage designation,heritage designation
Q7326106,Q19558910,heritage designation,heritage designation
Q7812438,Q19558910,heritage designation,heritage designation
Q5378202,Q19558910,heritage designation,heritage designation
Q7294340,Q19558910,heritage designation,heritage designation
Q445256,Q5335134,heritage designation,heritage designation
Q6930262,Q19558910,heritage designation,heritage designation
Q5317314,Q19558910,heritage designation,heritage designation
Q28124376,Q19558910,heritage designation,heritage designation
Q5178232,Q422211,heritage designation,heritage designation
Q4942014,Q19558910,heritage designation,heritage designation
Q14706405,Q19558910,heritage designation,heritage designation
Q25206990,Q19558910,heritage designation,heritage designation
Q28153229,Q19558910,heritage designation,heritage designation
Q5060138,Q19558910,heritage designation,heritage designation
Q14692007,Q19558910,heritage designation,heritage designation
Q6548387,Q19558910,heritage designation,heritage designation
Q7912180,Q19558910,heritage designation,heritage designation
Q7084412,Q19558910,heritage designation,heritage designation
Q5452786,Q19558910,heritage designation,heritage designation
Q192764,Q9259,heritage designation,heritage designation
Q5901195,Q19558910,heritage designation,heritage designation
Q4985461,Q19558910,heritage designation,heritage designation
Q5546653,Q19558910,heritage designation,heritage designation
Q6800073,Q19558910,heritage designation,heritage designation
Q5429858,Q19558910,heritage designation,heritage designation
Q4895981,Q19558910,heritage designation,heritage designation
Q5578214,Q19558910,heritage designation,heritage designation
Q19874941,Q422211,heritage designation,heritage designation
Q23074038,Q19558910,heritage designation,heritage designation
Q5223874,Q19558910,heritage designation,heritage designation
Q5127494,Q19558910,heritage designation,heritage designation
Q5604317,Q19558910,heritage designation,heritage designation
Q6141209,Q19558910,heritage designation,heritage designation
Q639217,Q9259,heritage designation,heritage designation
Q639217,Q9259,heritage designation,heritage designation
Q639217,Q9259,heritage designation,heritage designation
Q5379314,Q19558910,heritage designation,heritage designation
Q12064152,Q19558910,heritage designation,heritage designation
Q22004827,Q422211,heritage designation,heritage designation
Q7236818,Q19558910,heritage designation,heritage designation
Q2272283,Q916333,heritage designation,heritage designation
Q143042,Q9259,heritage designation,heritage designation
Q6219834,Q19558910,heritage designation,heritage designation
Q14693023,Q19558910,heritage designation,heritage designation
Q28834207,Q19558910,heritage designation,heritage designation
Q5644504,Q19558910,heritage designation,heritage designation
Q25209170,Q19558910,heritage designation,heritage designation
Q19817708,Q19558910,heritage designation,heritage designation
Q16891561,Q19558910,heritage designation,heritage designation
Q6981534,Q624232,heritage designation,heritage designation
Q18345283,Q19558910,heritage designation,heritage designation
Q5615781,Q19558910,heritage designation,heritage designation
Q5883225,Q19558910,heritage designation,heritage designation
Q7987194,Q219538,heritage designation,heritage designation
Q5663396,Q19558910,heritage designation,heritage designation
Q4362277,Q624232,heritage designation,heritage designation
Q4979096,Q19558910,heritage designation,heritage designation
Q15252297,Q19558910,heritage designation,heritage designation
Q18159344,Q19558910,heritage designation,heritage designation
Q18151333,Q19558910,heritage designation,heritage designation
Q4972783,Q19558910,heritage designation,heritage designation
Q14712201,Q19558910,heritage designation,heritage designation
Q7653324,Q19558910,heritage designation,heritage designation
Q5450065,Q19558910,heritage designation,heritage designation
Q8019002,Q19558910,heritage designation,heritage designation
Q7890972,Q19558910,heritage designation,heritage designation
Q14712256,Q19558910,heritage designation,heritage designation
Q7083729,Q19558910,heritage designation,heritage designation
Q19987124,Q19558910,heritage designation,heritage designation
Q6516446,Q19558910,heritage designation,heritage designation
Q2228344,Q219538,heritage designation,heritage designation
Q14705271,Q19558910,heritage designation,heritage designation
Q7407188,Q19558910,heritage designation,heritage designation
Q5359324,Q19558910,heritage designation,heritage designation
Q14692774,Q19558910,heritage designation,heritage designation
Q16890120,Q19558910,heritage designation,heritage designation
Q7931108,Q19558910,heritage designation,heritage designation
Q7994819,Q19558910,heritage designation,heritage designation
Q5060130,Q19558910,heritage designation,heritage designation
Q6936907,Q19558910,heritage designation,heritage designation
Q6859096,Q19558910,heritage designation,heritage designation
Q25206376,Q19558910,heritage designation,heritage designation
Q6771099,Q19558910,heritage designation,heritage designation
Q6499827,Q19558910,heritage designation,heritage designation
Q14712899,Q19558910,heritage designation,heritage designation
Q5604719,Q19558910,heritage designation,heritage designation
Q7317506,Q19558910,heritage designation,heritage designation
Q7482493,Q19558910,heritage designation,heritage designation
Q7490098,Q19558910,heritage designation,heritage designation
Q20639078,Q19558910,heritage designation,heritage designation
Q5435859,Q19558910,heritage designation,heritage designation
Q5140525,Q422211,heritage designation,heritage designation
Q6905831,Q19558910,heritage designation,heritage designation
Q7617296,Q19558910,heritage designation,heritage designation
Q7893810,Q19558910,heritage designation,heritage designation
Q8022335,Q19558910,heritage designation,heritage designation
Q740104,Q9259,heritage designation,heritage designation
Q5604725,Q19558910,heritage designation,heritage designation
Q15267405,Q19558910,heritage designation,heritage designation
Q7989222,Q19558910,heritage designation,heritage designation
Q752091,Q9259,heritage designation,heritage designation
Q547375,Q9259,heritage designation,heritage designation
Q18159262,Q19558910,heritage designation,heritage designation
Q5283688,Q19558910,heritage designation,heritage designation
Q17560879,Q19558910,heritage designation,heritage designation
Q6708482,Q19558910,heritage designation,heritage designation
Q7886382,Q19558910,heritage designation,heritage designation
Q6705190,Q19558910,heritage designation,heritage designation
Q8072543,Q19558910,heritage designation,heritage designation
Q14712997,Q19558910,heritage designation,heritage designation
Q15192711,Q19558910,heritage designation,heritage designation
Q1150950,Q624232,heritage designation,heritage designation
Q18159354,Q19558910,heritage designation,heritage designation
Q14314,Q9259,heritage designation,heritage designation
Q5415795,Q19558910,heritage designation,heritage designation
Q28007777,Q19558910,heritage designation,heritage designation
Q25000251,Q19558910,heritage designation,heritage designation
Q4745860,Q19558910,heritage designation,heritage designation
Q24041485,Q19558910,heritage designation,heritage designation
Q18205414,Q19558910,heritage designation,heritage designation
Q7183521,Q19558910,heritage designation,heritage designation
Q7404749,Q19558910,heritage designation,heritage designation
Q7013887,Q19558910,heritage designation,heritage designation
Q6487214,Q19558910,heritage designation,heritage designation
Q7195592,Q19558910,heritage designation,heritage designation
Q28368908,Q19558910,heritage designation,heritage designation
Q5545326,Q19558910,heritage designation,heritage designation
Q6470448,Q1568567,heritage designation,heritage designation
Q8075246,Q19558910,heritage designation,heritage designation
Q5501369,Q19558910,heritage designation,heritage designation
Q19986890,Q19558910,heritage designation,heritage designation
Q7975495,Q19558910,heritage designation,heritage designation
Q7304524,Q19558910,heritage designation,heritage designation
Q7357515,Q19558910,heritage designation,heritage designation
Q15226154,Q19558910,heritage designation,heritage designation
Q6884725,Q19558910,heritage designation,heritage designation
Q15252581,Q19558910,heritage designation,heritage designation
Q17021504,Q19558910,heritage designation,heritage designation
Q14692134,Q19558910,heritage designation,heritage designation
Q7351161,Q19558910,heritage designation,heritage designation
Q22033479,Q19558910,heritage designation,heritage designation
Q16982772,Q19558910,heritage designation,heritage designation
Q29649437,Q19558910,heritage designation,heritage designation
Q5047560,Q19558910,heritage designation,heritage designation
Q5087672,Q19558910,heritage designation,heritage designation
Q6518784,Q19558910,heritage designation,heritage designation
Q5130777,Q19558910,heritage designation,heritage designation
Q7352055,Q19558910,heritage designation,heritage designation
Q7576243,Q19558910,heritage designation,heritage designation
Q7029393,Q19558910,heritage designation,heritage designation
Q5686575,Q19558910,heritage designation,heritage designation
Q7975033,Q19558910,heritage designation,heritage designation
Q5027060,Q19558910,heritage designation,heritage designation
Q5159778,Q1568567,heritage designation,heritage designation
Q1343063,Q1299,performer,performer
Q6495235,Q1813605,performer,has part
Q5352439,Q312609,performer,performer
Q383240,Q202246,performer,performer
Q2449379,Q5921,performer,NA
Q29994815,Q1744,performer,performer
Q3283360,Q211528,performer,performer
Q1418790,Q203223,performer,performer
Q1770248,Q34166,performer,performer
Q3491274,Q15615,performer,performer
Q40334118,Q42455,performer,performer
Q3021179,Q1347285,performer,performer
Q856852,Q104326,performer,NA
Q372055,Q93346,performer,NA
Q732826,Q2831,performer,performer
Q2302014,Q40585,performer,performer
Q3020738,Q359474,performer,performer
Q1782900,Q15920,performer,performer
Q5157093,Q46087,performer,performer
Q3279345,Q211528,performer,performer
Q5469659,Q454419,performer,performer
Q21161375,Q233362,performer,performer
Q2000400,Q185002,performer,performer
Q28817635,Q28779459,performer,NA
Q614065,Q52440,performer,performer
Q6398195,Q6108301,performer,NA
Q7311637,Q750013,performer,performer
Q7784466,Q469097,performer,performer
Q24037694,Q44190,performer,NA
Q1418717,Q36153,performer,record label
Q1142018,Q1744,performer,performer
Q6125801,Q755830,performer,performer
Q4838494,Q973760,performer,performer
Q7044680,Q449634,performer,performer
Q240021,Q11036,performer,NA
Q5469645,Q216341,performer,performer
Q19320974,Q1784022,performer,performer
Q2453550,Q314704,performer,performer
Q6267213,Q449612,performer,performer
Q718759,Q833968,performer,NA
Q1387798,Q287206,performer,performer
Q3641547,Q229445,performer,performer
Q3941174,Q980356,performer,performer
Q10317241,Q421707,performer,performer
Q81532,Q81509,performer,performer
Q2671253,Q185165,performer,performer
Q18160187,Q188713,performer,performer
Q1765397,Q233393,performer,NA
Q2004896,Q200131,performer,performer
Q3486406,Q48995,performer,performer
Q7560285,Q1757705,performer,performer
Q5908427,Q320915,performer,performer
Q5054438,Q193744,performer,performer
Q1057533,Q1299,performer,performer
Q5441291,Q213538,performer,performer
Q20648570,Q1035442,performer,NA
Q2732605,Q485893,performer,performer
Q5286385,Q1752259,performer,NA
Q7737806,Q1386613,performer,performer
Q546427,Q44398,performer,performer
Q2058435,Q15935,performer,performer
Q3932229,Q6096,performer,performer
Q2447506,Q270700,performer,performer
Q3927014,Q1053643,performer,performer
Q27536823,Q5689248,performer,NA
Q8057687,Q3555208,performer,NA
Q530083,Q269091,performer,NA
Q3522444,Q93346,performer,performer
Q2458927,Q671183,performer,NA
Q5979034,Q133405,performer,performer
Q6794521,Q648786,performer,performer
Q21203456,Q221310,performer,NA
Q1127083,Q211337,performer,NA
Q606302,Q34389,performer,NA
Q7180620,Q178594,performer,performer
Q2081392,Q313698,performer,performer
Q1785006,Q199931,performer,performer
Q2466691,Q27593,performer,performer
Q4356788,Q946885,performer,performer
Q368735,Q1299,performer,performer
Q5073544,Q474169,performer,performer
Q522561,Q1225,performer,performer
Q488610,Q20153,performer,performer
Q20708559,Q1805782,performer,NA
Q5417709,Q267666,performer,performer
Q577563,Q43267,performer,performer
Q837909,Q188492,performer,performer
Q4877692,Q363236,performer,NA
Q3975929,Q781042,performer,performer
Q4834700,Q206032,performer,has part
Q4041069,Q4034022,performer,performer
Q6803047,Q1815973,performer,performer
Q4733985,Q952805,performer,performer
Q368668,Q15862,performer,performer
Q2525787,Q485893,performer,performer
Q212665,Q45354,performer,performer
Q6674156,Q216288,performer,performer
Q5092748,Q440893,performer,performer
Q5587665,Q1077072,performer,performer
Q5505669,Q1459405,performer,performer
Q4956500,Q482620,performer,performer
Q6463099,Q1627834,performer,performer
Q1755868,Q188407,performer,performer
Q2698301,Q265252,performer,performer
Q1577932,Q494784,performer,performer
Q7229874,Q638331,performer,performer
Q6544768,Q205001,performer,NA
Q4653,Q297384,performer,performer
Q4695682,Q571707,performer,NA
Q7772744,Q1325922,performer,NA
Q338796,Q17140,performer,performer
Q10302088,Q6070186,performer,NA
Q3299370,Q363441,performer,performer
Q5247154,Q1537805,performer,performer
Q866481,Q428223,performer,performer
Q866481,Q371782,performer,performer
Q6647362,Q430224,performer,performer
Q1436484,Q158175,performer,NA
Q7977257,Q240745,performer,performer
Q1941292,Q1853395,performer,performer
Q16707952,Q20153,performer,performer
Q8035758,Q238243,performer,performer
Q7083994,Q435679,performer,performer
Q19443218,Q19355766,performer,performer
Q6425745,Q5609732,performer,performer
Q4643906,Q664248,performer,NA
Q992667,Q47122,performer,performer
Q5889439,Q633,performer,NA
Q2427098,Q220730,performer,NA
Q263383,Q32849,performer,NA
Q20685968,Q7038942,performer,performer
Q743725,Q254138,performer,performer
Q2256255,Q1049555,performer,performer
Q1449867,Q294449,performer,performer
Q5233968,Q472051,performer,NA
Q5532588,Q46252,performer,performer
Q23895063,Q34436,performer,NA
Q2985123,Q188713,performer,performer
Q3279021,Q741801,performer,NA
Q261576,Q4636,performer,performer
Q20813813,Q5951242,performer,performer
Q1576306,Q1744,performer,performer
Q7799541,Q538696,performer,performer
Q795208,Q265252,performer,performer
Q2361381,Q66413,performer,performer
Q17090877,Q273208,performer,performer
Q43451770,Q5608,performer,performer
Q7366306,Q496287,performer,NA
Q22025243,Q22025117,performer,NA
Q1933003,Q2599,performer,performer
Q2454853,Q17140,performer,NA
Q23013782,Q153597,performer,performer
Q538705,Q3008,performer,performer
Q4928794,Q205721,performer,performer
Q7602301,Q339430,performer,performer
Q20709035,Q1478249,performer,performer
Q5990735,Q3814095,performer,performer
Q383899,Q1355807,performer,performer
Q535525,Q44892,performer,performer
Q4306534,Q13077226,performer,performer
Q4034506,Q817297,performer,record label
Q1195370,Q179767,performer,performer
Q1578607,Q20153,performer,performer
Q21428194,Q21621919,performer,performer
Q928089,Q43432,performer,performer
Q3342423,Q444832,performer,performer
Q7991248,Q1660304,performer,performer
Q17042616,Q1257490,performer,NA
Q7974327,Q637447,performer,performer
Q5694590,Q546509,performer,NA
Q16238554,Q1636465,performer,performer
Q7113672,Q2754718,performer,performer
Q653189,Q435965,performer,performer
Q16962135,Q2754718,performer,performer
Q22806429,Q3044780,performer,performer
Q2036112,Q1299,performer,NA
Q1792993,Q217025,performer,NA
Q2462791,Q5336684,performer,performer
Q1426279,Q1299,performer,NA
Q691874,Q45188,performer,performer
Q4994841,Q11036,performer,performer
Q12883221,Q229606,performer,performer
Q342879,Q1299,performer,performer
Q17130764,Q2470485,performer,NA
Q7557464,Q158895,performer,performer
Q1026579,Q237439,performer,performer
Q769322,Q1049555,performer,performer
Q207661,Q2306,performer,performer
Q7973109,Q356487,performer,performer
Q8057480,Q371997,performer,performer
Q4854600,Q794498,performer,performer
Q2384434,Q276170,performer,performer
Q3421563,Q956336,performer,NA
Q3941412,Q163593,performer,performer
Q8056874,Q928360,performer,performer
Q192023,Q2331,performer,performer
Q115468,Q208258,performer,NA
Q6886069,Q441940,performer,performer
Q18713834,Q2393563,performer,performer
Q1003247,Q1430158,performer,NA
Q19758671,Q5029183,performer,performer
Q617372,Q183048,performer,performer
Q21123,Q121507,performer,performer
Q3997516,Q1074590,performer,NA
Q7582410,Q445640,performer,performer
Q283557,Q83431,performer,NA
Q7430961,Q682299,performer,performer
Q1755017,Q638241,performer,performer
Q2915842,Q179157,performer,NA
Q7044089,Q594748,performer,performer
Q21396230,Q181484,performer,NA
Q12318423,Q12344119,performer,performer
Q2192577,Q570393,performer,NA
Q30612164,Q131433,performer,NA
Q762165,Q1299,performer,performer
Q6517785,Q211965,performer,performer
Q5504026,Q645980,performer,performer
Q17062986,Q230925,performer,NA
Q6480245,Q2757867,performer,NA
Q2451506,Q47122,performer,performer
Q3964739,Q1419043,performer,NA
Q33857764,Q5084390,performer,NA
Q6316098,Q189758,performer,performer
Q7638274,Q2415014,performer,performer
Q3784031,Q233959,performer,performer
Q1458619,Q5608,performer,performer
Q2301491,Q43259,performer,performer
Q3512522,Q331731,performer,performer
Q28842326,Q20090091,performer,performer
Q3296904,Q44190,performer,performer
Q18518749,Q502058,performer,performer
Q20967681,Q177736,performer,performer
Q19314211,Q181484,performer,performer
Q3853987,Q290224,performer,performer
Q7285127,Q332635,performer,performer
Q176098,Q1299,performer,performer
Q7236567,Q540500,performer,performer
Q5556579,Q354121,performer,NA
Q5979162,Q654652,performer,performer
Q1933478,Q313627,performer,performer
Q2292958,Q348944,performer,performer
Q1164558,Q2643,performer,performer
Q1883108,Q483828,performer,performer
Q26157,Q23479,performer,performer
Q4654720,Q472595,performer,performer
Q3392674,Q142701,performer,NA
Q19984097,Q965455,performer,performer
Q725754,Q83431,performer,NA
Q2842940,Q345431,performer,NA
Q19756862,Q19810390,performer,performer
Q4905450,Q1191761,performer,performer
Q1140437,Q124179,performer,performer
Q5429255,Q117669,performer,performer
Q6442406,Q2284253,performer,performer
Q20992496,Q4761048,performer,NA
Q893426,Q1744,performer,performer
Q1943224,Q1569811,performer,performer
Q1072772,Q573017,performer,performer
Q4780105,Q2061634,performer,performer
Q3331236,Q437559,performer,performer
Q5296955,Q214226,performer,NA
Q1050753,Q36844,performer,performer
Q182389,Q1299,performer,performer
Q4689953,Q110477,performer,NA
Q6296991,Q292386,performer,performer
Q7460923,Q312870,performer,performer
Q19878466,Q5246027,performer,performer
Q26964737,Q232288,performer,performer
Q4942882,Q3266912,performer,performer
Q27637062,Q34424,performer,performer
Q117707,Q43267,performer,performer
Q16166105,Q335629,performer,NA
Q3001966,Q188407,performer,NA
Q7730442,Q538634,performer,NA
Q5564396,Q1333817,performer,NA
Q20856930,Q6663066,performer,performer
Q3284727,Q233081,performer,performer
Q744503,Q846308,performer,NA
Q2605062,Q139638,performer,performer
Q8056956,Q1757318,performer,performer
Q2914258,Q590102,performer,performer
Q13637184,Q299282,performer,performer
Q44508,Q2831,performer,performer
Q5441434,Q873413,performer,performer
Q7640944,Q539955,performer,NA
Q16852010,Q603579,performer,performer
Q938836,Q11617,performer,NA
Q1416826,Q286022,performer,performer
Q1284314,Q271471,performer,NA
Q19588515,Q18788,performer,NA
Q791712,Q193710,performer,performer
Q3761452,Q1130581,performer,performer
Q7363064,Q544018,performer,NA
Q3642658,Q1631685,performer,performer
Q13534623,Q1455261,performer,performer
Q1027613,Q482964,performer,performer
Q7142400,Q229139,performer,performer
Q1996828,Q1036439,performer,performer
Q17445157,Q946885,performer,performer
Q24954503,Q4636,performer,performer
Q24954503,Q714,performer,NA
Q5285923,Q448837,performer,performer
Q955029,Q222818,performer,performer
Q21161025,Q233118,performer,performer
Q7191362,Q7537218,performer,performer
Q16996397,Q3445057,performer,NA
Q9050125,Q745741,performer,performer
Q7033708,Q209182,performer,performer
Q4659075,Q2737293,performer,NA
Q2078402,Q272253,performer,performer
Q738895,Q182223,performer,performer
Q1753076,Q392,performer,performer
Q926812,Q93341,performer,performer
Q7300916,Q463989,performer,performer
Q1426619,Q192463,performer,NA
Q4771436,Q229891,performer,performer
Q3980286,Q304675,performer,record label
Q24037513,Q12470060,performer,performer
Q7619814,Q619067,performer,performer
Q16842508,Q6243938,performer,NA
Q3799075,Q322196,performer,performer
Q3942653,Q229430,performer,performer
Q3837740,Q559599,performer,performer
Q2007845,Q45354,performer,performer
Q16992858,Q214226,performer,NA
Q2587973,Q188426,performer,performer
Q944632,Q1779,performer,performer
Q6135758,Q1043925,performer,performer
Q18394350,Q739681,performer,performer
Q1621656,Q418649,performer,performer
Q974456,Q727362,performer,performer
Q779107,Q249623,performer,performer
Q786292,Q152453,performer,performer
Q3735631,Q1475625,performer,performer
Q1416923,Q1299,performer,NA
Q5418164,Q924298,performer,performer
Q3858392,Q107432,performer,performer
Q1258789,Q313918,performer,performer
Q767768,Q37615,performer,NA
Q7193537,Q151241,performer,NA
Q127152,Q182890,performer,performer
Q3508371,Q1225,performer,NA
Q958223,Q447101,performer,NA
Q7784354,Q153566,performer,performer
Q2623550,Q174817,performer,NA
Q17181153,Q1669590,performer,performer
Q3143326,Q845759,performer,performer
Q149498,Q36153,performer,performer
Q7083472,Q6818337,performer,performer
Q2282618,Q32849,performer,performer
Q3999775,Q2026055,performer,performer
Q1153577,Q322265,performer,performer
Q1421063,Q109871,performer,performer
Q8034648,Q178134,performer,performer
Q7751146,Q6788851,performer,performer
Q112933,Q205473,performer,performer
Q4749861,Q2729382,performer,performer
Q2544408,Q493710,performer,performer
Q514247,Q231487,performer,performer
Q1051383,Q234066,performer,performer
Q4111529,Q6168485,performer,NA
Q7206001,Q1240650,performer,NA
Q2480289,Q2171699,performer,performer
Q3508926,Q1225,performer,performer
Q2298481,Q821198,performer,performer
Q280736,Q180861,performer,performer
Q3067827,Q267070,performer,performer
Q1170126,Q233721,performer,performer
Q848241,Q286022,performer,performer
Q24038057,Q1426495,performer,performer
Q777308,Q131324,performer,performer
Q21775845,Q14947290,performer,performer
Q7441942,Q1319562,performer,performer
Q794312,Q762112,performer,performer
Q606884,Q187844,performer,performer
Q33328630,Q44190,performer,performer
Q248210,Q36844,performer,performer
Q3285061,Q1412298,performer,performer
Q17984574,Q16233232,performer,performer
Q501327,Q292960,performer,NA
Q7810,Q44442,performer,performer
Q1115853,Q192983,performer,performer
Q7857774,Q211213,performer,NA
Q20731348,Q5474649,performer,performer
Q582526,Q1744,performer,performer
Q1753919,Q357340,performer,performer
Q7429007,Q672354,performer,NA
Q4041200,Q11036,performer,performer
Q887326,Q437669,performer,performer
Q4811617,Q4116079,performer,performer
Q1483257,Q453812,performer,performer
Q17087768,Q2700058,performer,performer
Q326246,Q41594,performer,performer
Q7126235,Q576359,performer,composer
Q5480,Q229211,performer,performer
Q2478053,Q259254,performer,performer
Q6312783,Q850290,performer,NA
Q17020749,Q7427792,performer,performer
Q829973,Q173180,performer,performer
Q1927612,Q570393,performer,performer
Q5162393,Q19057,performer,performer
Q34358,Q312385,performer,performer
Q1755446,Q1544144,performer,performer
Q3499485,Q902881,performer,performer
Q6316127,Q313992,performer,performer
Q2179348,Q276170,performer,NA
Q1135588,Q1299,performer,performer
Q10301352,Q931863,performer,performer
Q11977473,Q58608,performer,performer
Q7752760,Q2061937,performer,performer
Q2914803,Q2372864,performer,NA
Q7882420,Q1418897,performer,NA
Q1129202,Q5383,performer,performer
Q6266111,Q1198056,performer,NA
Q5306606,Q15052857,performer,performer
Q2842095,Q458519,performer,performer
Q17035802,Q156814,performer,performer
Q5985331,Q741119,performer,performer
Q173181,Q202741,performer,performer
Q2056815,Q437806,performer,performer
Q1111122,Q258546,performer,performer
Q10340573,Q3307486,performer,performer
Q7691445,Q1908294,performer,performer
Q369924,Q1407424,performer,performer
Q3783917,Q454010,performer,NA
Q3785613,Q237186,performer,performer
Q10515395,Q139121,performer,performer
Q4832359,Q2034600,performer,performer
Q40935468,Q7560935,performer,performer
Q3784020,Q714,performer,performer
